Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1976	01	01	3.20413536	-9999	10.216	-0.435948	86.7515	-9999	18.6681	-9999	-9999	-9999	-9999
1976	01	02	4.83931584	-9999	0.468917	-4.13208	81.9301	-9999	6.68859	-9999	-9999	-9999	-9999
1976	01	03	5.87365344	-9999	-0.609024	-5.33704	68.2612	-9999	0.501395	-9999	-9999	-9999	-9999
1976	01	04	5.80811904	-9999	-1.4417	-7.7436	67.1349	-9999	0.00346408	-9999	-9999	-9999	-9999
1976	01	05	2.86849728	-9999	2.50108	-2.28153	92.1772	-9999	0.603688	-9999	-9999	-9999	-9999
1976	01	06	5.93846208	-9999	5.13771	1.66095	84.3853	-9999	0.174032	-9999	-9999	-9999	-9999
1976	01	07	6.34640832	-9999	9.55916	3.50659	56.7131	-9999	0	-9999	-9999	-9999	-9999
1976	01	08	6.47790048	-9999	9.7776	5.63198	76.3403	-9999	0.572131	-9999	-9999	-9999	-9999
1976	01	09	3.53166048	-9999	9.23534	4.56134	95.4545	-9999	26.4881	-9999	-9999	-9999	-9999
1976	01	10	3.45485088	-9999	5.73576	1.21951	90.4544	-9999	11.9965	-9999	-9999	-9999	-9999
1976	01	11	2.6108352	-9999	5.45326	1.33133	98.2093	-9999	30.5334	-9999	-9999	-9999	-9999
1976	01	12	3.65879808	-9999	8.37798	4.34954	94.5877	-9999	17.5177	-9999	-9999	-9999	-9999
1976	01	13	2.66760864	-9999	6.56523	2.83926	97.9751	-9999	9.24728	-9999	-9999	-9999	-9999
1976	01	14	1.22732928	-9999	3.67976	1.54049	97.1636	-9999	4.51536	-9999	-9999	-9999	-9999
1976	01	15	2.21381856	-9999	3.78853	1.6445	94.0378	-9999	5.74223	-9999	-9999	-9999	-9999
1976	01	16	6.5310624	-9999	6.10591	-0.791386	85.5345	-9999	0.354565	-9999	-9999	-9999	-9999
1976	01	17	7.19324064	-9999	1.4276	-2.90439	64.1038	-9999	3.07376e-12	-9999	-9999	-9999	-9999
1976	01	18	4.47118272	-9999	3.90974	-2.09763	91.0213	-9999	8.52612	-9999	-9999	-9999	-9999
1976	01	19	4.8110976	-9999	-1.16164	-8.655	77.1984	-9999	5.17949	-9999	-9999	-9999	-9999
1976	01	20	5.97881088	-9999	-7.31603	-10.5663	68.4108	-9999	0.000569762	-9999	-9999	-9999	-9999
1976	01	21	3.4214832	-9999	-5.48894	-10.8777	86.983	-9999	3.15855	-9999	-9999	-9999	-9999
1976	01	22	2.88840384	-9999	-3.83019	-7.24488	92.4045	-9999	6.19788	-9999	-9999	-9999	-9999
1976	01	23	6.39806688	-9999	2.59846	-11.2421	86.6694	-9999	1.04174	-9999	-9999	-9999	-9999
1976	01	24	5.59321632	-9999	3.32225	0.302913	92.2428	-9999	0.19484	-9999	-9999	-9999	-9999
1976	01	25	3.05784288	-9999	6.52846	0.345607	96.4465	-9999	2.52397	-9999	-9999	-9999	-9999
1976	01	26	7.8618384	-9999	4.69301	0.434322	75.2992	-9999	1.41938	-9999	-9999	-9999	-9999
1976	01	27	8.1473904	-9999	4.58363	-0.242711	53.828	-9999	2.64233e-14	-9999	-9999	-9999	-9999
1976	01	28	6.8932944	-9999	7.74483	3.67434	61.2601	-9999	1.5556e-07	-9999	-9999	-9999	-9999
1976	01	29	6.14210688	-9999	9.73189	3.04715	80.765	-9999	1.8839	-9999	-9999	-9999	-9999
1976	01	30	4.7078496	-9999	6.65285	3.92318	93.283	-9999	51.1772	-9999	-9999	-9999	-9999
1976	01	31	3.88058688	-9999	5.80992	3.03576	97.0835	-9999	15.0595	-9999	-9999	-9999	-9999
1976	02	01	8.55063648	-9999	6.50913	1.75156	81.9825	-9999	0.0241916	-9999	-9999	-9999	-9999
1976	02	02	2.667816	-9999	3.25718	-1.06644	98.5489	-9999	22.8672	-9999	-9999	-9999	-9999
1976	02	03	6.94937664	-9999	2.25959	-1.47089	85.9328	-9999	1.58575	-9999	-9999	-9999	-9999
1976	02	04	7.95533184	-9999	3.42686	0.201232	78.415	-9999	4.65472e-12	-9999	-9999	-9999	-9999
1976	02	05	6.34277088	-9999	7.10273	1.46545	86.5647	-9999	0.442649	-9999	-9999	-9999	-9999
1976	02	06	8.59428576	-9999	7.64158	3.66424	88.6074	-9999	0.0318407	-9999	-9999	-9999	-9999
1976	02	07	7.805592	-9999	8.14521	3.63956	84.6368	-9999	8.92116e-07	-9999	-9999	-9999	-9999
1976	02	08	9.1875168	-9999	10.3302	4.60214	67.0253	-9999	0	-9999	-9999	-9999	-9999
1976	02	09	9.6086304	-9999	9.84834	4.70505	64.788	-9999	0	-9999	-9999	-9999	-9999
1976	02	10	9.74376	-9999	8.92945	3.1239	54.4217	-9999	4.70912e-12	-9999	-9999	-9999	-9999
1976	02	11	9.8200512	-9999	10.2066	2.85046	63.0085	-9999	0	-9999	-9999	-9999	-9999
1976	02	12	8.8792416	-9999	10.9163	3.53552	56.7557	-9999	9.60825e-08	-9999	-9999	-9999	-9999
1976	02	13	9.839232	-9999	11.9708	3.72955	65.7771	-9999	6.3458e-09	-9999	-9999	-9999	-9999
1976	02	14	8.8861536	-9999	15.7163	7.58288	53.4764	-9999	0	-9999	-9999	-9999	-9999
1976	02	15	9.3642912	-9999	9.43986	3.03616	79.0598	-9999	3.2308e-05	-9999	-9999	-9999	-9999
1976	02	16	7.358256	-9999	7.50285	3.83819	85.3879	-9999	7.49998	-9999	-9999	-9999	-9999
1976	02	17	4.88697408	-9999	6.59342	3.56729	93.6132	-9999	5.92663	-9999	-9999	-9999	-9999
