fdcod;fddesc1;fddesc1_lat;fddesc2;FOREST CLASS
39;pino (altre sp.);Pinus sp.;tree;other
299;quercia (altre sp.);Quercus sp.;tree;other
10;abete bianco;Abies alba;tree;Abiesalba
11;abete dei Nebrodi;Abies nebrodensis;tree;Abiesalba
12;abete greco;Abies cephalonica;tree;Abiesalba
9;abete (altre sp. di Abies);Abies sp.;tree;Abiesalba
240;betulla verrucosa;Betula pendula;tree;Betulapubescens
241;betulla pubescente;Betula pubescens;tree;Betulapubescens
239;betulla (altre sp.);Betula sp.;tree;Betulapubescens
250;carpino bianco;Carpinus betulus;tree;Betulapubescens
280;castagno;Castanea sativa;tree;Castaneasativa
330;faggio;Fagus sylvatica;tree;Fagussylvatica
461;tiglio selvatico;Tilia cordata;tree;Fagussylvatica
204;acero d' Ungheria;Acer gr. opalus;tree;Fagussylvatica
80;larice;Larix decidua;tree;Larixdecidua
81;larice giapponese;Larix kaempferi (L. leptolepis);tree;Larixdecidua
20;abete rosso;Picea abies;tree;Piceaabies
19;abete (altre sp. di Picea);Picea sp.;tree;Piceaabies
48;pino montano;Pinus uncinata;tree;Piceaabies
41;pino bruzio;Pinus brutia;tree;Pinushalepensis
42;pino d' Aleppo;Pinus halepensis;tree;Pinushalepensis
45;pino laricio;Pinus  laricio;tree;Pinuslaricio
49;pino nero;Pinus nigra;tree;Pinuslaricio
43;pino domestico;Pinus pinea;tree;Pinuspinaster
47;pino marittimo;Pinus pinaster;tree;Pinuspinaster
50;pino radiato;Pinus radiata;tree;Pinuspinaster
55;pino delle Canarie;Pinus canariensis;tree;Pinuspinaster
51;pino silvestre;Pinus sylvestris;tree;Pinussylvestris
260;carpino nero;Ostrya carpinifolia;tree;Quercuscerris
300;cerro;Quercus cerris;tree;Quercuscerris
301;farnetto;Quercus frainetto;tree;Quercuscerris
303;fragno;Quercus trojana;tree;Quercuscerris
308;roverella;Quercus pubescens;tree;Quercuscerris
311;leccio (arboreo);Quercus ilex;tree;Quercusilex
302;farnia;Quercus robur;tree;Quercusrobur
306;quercia rossa;Quercus rubra;tree;Quercusrobur
307;rovere;Quercus petraea;tree;Quercusrobur
201;acero campestre;Acer campestre;tree;Quercusrobur
203;acero di monte;Acer pseudoplatanus;tree;Quercusrobur
200;acero americano;Acer negundo;tree;other
202;acero di Lobelius;Acer lobelii;tree;other
205;acero minore;Acer monspessulanum;tree;other
207;acero riccio;Acer platanoides;tree;other
470;agrifoglio (arboreo);Ilex aquifolium;tree;other
210;ailanto;Ailanthus altissima;tree;other
215;albero della canfora;Cinnamomum camphora;tree;other
220;albero di Giuda;Cercis siliquastrum;tree;other
480;alloro (arboreo);Laurus nobilis;tree;other
230;bagolaro;Celtis sp.;tree;other
251;carpino orientale;Carpinus orientalis;tree;other
270;carrubo (arboreo);Ceratonia siliqua;tree;other
285;catalpa;Catalpa bignonioides;tree;other
30;cedro;Cedrus sp.;tree;other
40;cembro;Pinus cembra;tree;other
290;ceraso;Prunus cerasifera;tree;other
310;cerrosughera;Quercus crenata;tree;other
320;ciavardello;Sorbus torminalis;tree;other
291;ciliegio selvatico;Prunus avium;tree;other
60;cipresso;Cupressus sempervirens;tree;other
61;cipresso dell'Arizona;Cupressus arizonica;tree;other
65;cipresso delle paludi;Taxodium distichum;tree;other
