year	CO2_ppm
1997	363.155
1998	365.3225
1999	367.3475
2000	368.865
2001	370.4675
2002	372.5225
2003	374.76
2004	376.8125
2005	378.8125
2006	380.93
2007	374.76
2008	374.76
2009	374.76
2010	374.76
2011	374.76
2012	374.76
2013	374.76
2014	374.76
2015	374.76
2016	374.76
2017	374.76
2018	374.76
2019	374.76
2020	374.76
2021	374.76
2022	374.76
2023	374.76
2024	374.76
2025	374.76
2026	374.76
2027	374.76
2028	374.76
2029	374.76
2030	374.76
2031	374.76
2032	374.76
2033	374.76
2034	374.76
2035	374.76
2036	374.76
2037	374.76
2038	374.76
2039	374.76
2040	374.76
2041	374.76
2042	374.76
2043	374.76
2044	374.76
2045	374.76
2046	374.76
2047	374.76
2048	374.76
2049	374.76
2050	374.76
2051	374.76
2052	374.76
2053	374.76
2054	374.76
2055	374.76
2056	374.76
2057	374.76
2058	374.76
2059	374.76
2060	374.76
2061	374.76
2062	374.76
2063	374.76
2064	374.76
2065	374.76
2066	374.76
2067	374.76
2068	374.76
2069	374.76
2070	374.76
2071	374.76
2072	374.76
2073	374.76
2074	374.76
2075	374.76
2076	374.76
2077	374.76
2078	374.76
2079	374.76
2080	374.76
2081	374.76
2082	374.76
2083	374.76
2084	374.76
2085	374.76
2086	374.76
2087	374.76
2088	374.76
2089	374.76
2090	374.76
2091	374.76
2092	374.76
2093	374.76
2094	374.76
2095	374.76
2096	374.76
2097	374.76
2098	374.76
2099	374.76
2100	374.76
2101	374.76
2102	374.76
2103	374.76
2104	374.76
2105	374.76
2106	374.76
2107	374.76
2108	374.76
2109	374.76
2110	374.76
2111	374.76
2112	374.76
2113	374.76
2114	374.76
2115	374.76
2116	374.76
2117	374.76
2118	374.76
2119	374.76
2120	374.76
2121	374.76
2122	374.76
2123	374.76
2124	374.76
2125	374.76
2126	374.76
2127	374.76
2128	374.76
2129	374.76
2130	374.76
2131	374.76
2132	374.76
2133	374.76
2134	374.76
2135	374.76
2136	374.76
2137	374.76
2138	374.76
2139	374.76
2140	374.76
2141	374.76
2142	374.76
2143	374.76
2144	374.76
2145	374.76
2146	374.76
2147	374.76
2148	374.76
2149	374.76
2150	374.76
2151	374.76
2152	374.76
2153	374.76
2154	374.76
2155	374.76
2156	374.76
2157	374.76
2158	374.76
2159	374.76
2160	374.76
2161	374.76
2162	374.76
2163	374.76
2164	374.76
2165	374.76
2166	374.76
2167	374.76
2168	374.76
2169	374.76
2170	374.76
2171	374.76
2172	374.76
2173	374.76
2174	374.76
2175	374.76
2176	374.76
2177	374.76
2178	374.76
2179	374.76
2180	374.76
2181	374.76
2182	374.76
2183	374.76
2184	374.76
2185	374.76
2186	374.76
2187	374.76
2188	374.76
2189	374.76
2190	374.76
2191	374.76
2192	374.76
2193	374.76
2194	374.76
2195	374.76
2196	374.76
2197	374.76
2198	374.76
2199	374.76
