year	CO2_ppm
1997	380.93
1998	370.4675
1999	378.8125
2000	376.8125
2001	378.8125
2002	382.7
2003	372.5225
2004	384.77
2005	374.76
2006	372.5225
2007	374.76
2008	384.77
2009	378.8125
2010	382.7
2011	374.76
2012	368.865
2013	382.7
2014	382.7
2015	374.76
2016	384.77
2017	372.5225
2018	374.76
2019	378.8125
2020	368.865
2021	382.7
2022	372.5225
2023	374.76
2024	376.8125
2025	380.93
2026	382.7
2027	378.8125
2028	384.77
2029	378.8125
2030	372.5225
2031	378.8125
2032	368.865
2033	374.76
2034	382.7
2035	380.93
2036	384.77
2037	380.93
2038	382.7
2039	378.8125
2040	376.8125
2041	374.76
2042	372.5225
2043	372.5225
2044	384.77
2045	382.7
2046	382.7
2047	378.8125
2048	384.77
2049	374.76
2050	378.8125
2051	372.5225
2052	376.8125
2053	370.4675
2054	378.8125
2055	372.5225
2056	376.8125
2057	382.7
2058	380.93
2059	380.93
2060	376.8125
2061	382.7
2062	382.7
2063	372.5225
2064	368.865
2065	374.76
2066	378.8125
2067	372.5225
2068	384.77
2069	382.7
2070	382.7
2071	370.4675
2072	384.77
2073	374.76
2074	378.8125
2075	380.93
2076	384.77
2077	370.4675
2078	382.7
2079	374.76
2080	376.8125
2081	378.8125
2082	374.76
2083	378.8125
2084	368.865
2085	374.76
2086	374.76
2087	382.7
2088	376.8125
2089	370.4675
2090	370.4675
2091	380.93
2092	368.865
2093	370.4675
2094	374.76
2095	374.76
2096	368.865
2097	380.93
2098	370.4675
2099	374.76
2100	378.8125
2101	380.93
2102	378.8125
2103	372.5225
2104	368.865
2105	378.8125
2106	380.93
2107	378.8125
2108	376.8125
2109	374.76
2110	374.76
2111	380.93
2112	384.77
2113	374.76
2114	372.5225
2115	370.4675
2116	368.865
2117	382.7
2118	374.76
2119	370.4675
2120	384.77
2121	372.5225
2122	370.4675
2123	370.4675
2124	384.77
2125	382.7
2126	382.7
2127	372.5225
2128	384.77
2129	380.93
2130	372.5225
2131	378.8125
2132	368.865
2133	380.93
2134	382.7
2135	380.93
2136	368.865
2137	370.4675
2138	378.8125
2139	374.76
2140	384.77
2141	372.5225
2142	380.93
2143	374.76
2144	376.8125
2145	378.8125
2146	378.8125
2147	374.76
2148	376.8125
2149	372.5225
2150	378.8125
2151	382.7
2152	384.77
2153	380.93
2154	378.8125
2155	380.93
2156	376.8125
2157	372.5225
2158	370.4675
2159	378.8125
2160	384.77
2161	382.7
2162	378.8125
2163	374.76
2164	376.8125
2165	382.7
2166	378.8125
2167	374.76
2168	376.8125
2169	372.5225
2170	382.7
2171	370.4675
2172	368.865
2173	374.76
2174	378.8125
2175	380.93
2176	368.865
2177	370.4675
2178	380.93
2179	370.4675
2180	384.77
2181	374.76
2182	380.93
2183	378.8125
2184	368.865
2185	382.7
2186	374.76
2187	370.4675
2188	384.77
2189	372.5225
2190	380.93
2191	378.8125
2192	376.8125
2193	378.8125
2194	372.5225
2195	380.93
2196	376.8125
2197	378.8125
2198	370.4675
2199	378.8125
