X,Y,YEAR,MONTH,DAY,LAYER,HEIGHT,DBH,AGE,SPECIES,MANAGEMENT,GPP,Av_TOT,Aj_TOT,A_TOT,RG,RM,RA,NPP,BP,CUE,BPE,LAI_PROJ,PEAK-LAI_PROJ,LAI_EXP,D-CC_P,DBHDC,CROWN_AREA_PROJ,PAR,APAR,fAPAR,NTREE,VEG_D,INT,WAT,EVA,TRA,ET,LE,WUE,RESERVE_C,STEM_C,STEMSAP_C,STEMLIVE_C,STEMDEAD_C,LEAF_C,FROOT_C,CROOT_C,CROOTSAP_C,CROOTLIVE_C,CROOTDEAD_C,BRANCH_C,BRANCHSAP_C,BRANCHLIVE_C,BRANCHDEAD_C,FRUIT_C,TOT_SAPWOOD_C,DELTA_RESERVE_C,DELTA_STEM_C,DELTA_LEAF_C,DELTA_FROOT_C,DELTA_CROOT_C,DELTA_BRANCH_C,DELTA_FRUIT_C,RESERVE_N,STEM_N,STEMLIVE_N,STEMDEAD_N,LEAF_N,FROOT_N,CROOT_N,CROOTLIVE_N,CROOTDEAD_N,BRANCH_N,BRANCHLIVE_N,BRANCHDEAD_N,FRUIT_N,DELTA_RESERVE_N,DELTA_STEM_N,DELTA_LEAF_N,DELTA_FROOT_N,DELTA_CROOT_N,DELTA_BRANCH_N,DELTA_FRUIT_N,STEM_AR,LEAF_AR,FROOT_AR,CROOT_AR,BRANCH_AR,F_CO2,F_CO2_VER,F_CO2_FRA,FCO2_TR,FLIGHT,FAGE,FT,FVPD,FN,FSW,LITR_C,CWD_C,gpp,npp,ar,hr,rsoil,reco,nee,nep,et,le,soil_evapo,snow_pack,asw,moist_ratio,iWue,litrC,litr1C,litr2C,litr3C,litr4C,deadwoodC,deadwood2C,deadwood3C,deadwood4C,soilC,soil1C,soil2C,soil3C,soil4C,litrN,litr1N,litr2N,litr3N,litr4N,deadwoodN,deadwood2N,deadwood3N,deadwood4N,soilN,soil1N,soil2N,soil3N,soil4N,Tsoil,Daylength
0,0,1997,1,1,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,0.6768,0.6768,-0.6768,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7010,43.1538,32.7737,4.2606,38.8932,0.0000,0.0000,15.5354,11.7985,1.5338,14.0015,5.3942,4.0967,0.5326,4.8616,0.0000,48.6689,-0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4558,0.0000,0.0000,0.1641,0.0570,1.0051,1.0078,1.0051,0.8792,1.0000,1.0000,0.4924,0.9626,0.8419,1.0000,0.0000,0.0000,0.0000,-0.6768,0.6768,0.0003,0.1644,0.6771,0.6771,-0.6771,-0.1117,-3.2225,-0.1117,0.0000,456.4675,1.0000,0.0000,0.0994,0.0000,0.0744,0.0000,0.0250,0.1000,0.0750,0.0000,0.0250,0.0043,0.0010,0.0013,0.0010,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,4.3650,6.5640
0,0,1997,1,2,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,0.9226,0.9226,-0.9226,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6917,43.1538,32.7719,4.2603,38.8934,0.0000,0.0000,15.5354,11.7979,1.5337,14.0016,5.3942,4.0965,0.5325,4.8617,0.0000,48.6662,-0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6446,0.0000,0.0000,0.1975,0.0806,1.0055,1.0103,1.0055,0.8792,1.0000,1.0000,0.6545,0.9393,0.8419,1.0000,0.0000,0.0000,0.0000,-0.9226,0.9226,0.0005,0.1979,0.9231,0.9231,-0.9231,-0.1293,-3.7237,-0.1293,0.0000,456.4675,1.0000,0.0000,0.0985,0.0000,0.0736,0.0000,0.0249,0.1000,0.0750,0.0000,0.0250,0.0047,0.0010,0.0016,0.0011,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,5.8757,6.5866
0,0,1997,1,3,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,0.7061,0.7061,-0.7061,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6847,43.1538,32.7701,4.2601,38.8937,0.0000,0.0000,15.5354,11.7972,1.5336,14.0017,5.3942,4.0963,0.5325,4.8617,0.0000,48.6636,-0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4627,0.0000,0.0000,0.1856,0.0578,1.0053,1.0091,1.0053,0.8792,1.0000,1.0000,0.5836,0.9018,0.8419,1.0000,0.0000,0.0000,0.0000,-0.7061,0.7061,0.0004,0.1860,0.7065,0.7065,-0.7065,0.0014,0.0400,0.0014,0.0000,456.4661,1.0000,0.0000,0.0978,0.0000,0.0729,0.0000,0.0249,0.1000,0.0750,0.0000,0.0250,0.0051,0.0010,0.0020,0.0011,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,5.4167,6.6107
0,0,1997,1,4,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,0.7918,0.7918,-0.7918,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6768,43.1538,32.7683,4.2599,38.8939,0.0000,0.0000,15.5354,11.7966,1.5336,14.0018,5.3942,4.0960,0.5325,4.8617,0.0000,48.6609,-0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5369,0.0000,0.0000,0.1878,0.0671,1.0054,1.0097,1.0054,0.8792,1.0000,1.0000,0.6188,0.9175,0.8419,1.0000,0.0000,0.0000,0.0000,-0.7918,0.7918,0.0004,0.1883,0.7923,0.7923,-0.7923,-0.1069,-3.0802,-0.1069,0.0000,456.4675,1.0000,0.0000,0.0970,0.0000,0.0722,0.0000,0.0248,0.0999,0.0750,0.0000,0.0250,0.0054,0.0010,0.0023,0.0011,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,5.5191,6.6365
0,0,1997,1,5,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,1.0108,1.0108,-1.0108,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6667,43.1538,32.7665,4.2596,38.8941,0.0000,0.0000,15.5354,11.7959,1.5335,14.0019,5.3942,4.0958,0.5325,4.8618,0.0000,48.6583,-0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7173,0.0000,0.0000,0.2038,0.0897,1.0055,1.0105,1.0055,0.8792,1.0000,1.0000,0.6634,0.9090,0.8419,1.0000,0.0000,0.0000,0.0000,-1.0108,1.0108,0.0005,0.2043,1.0113,1.0113,-1.0113,-0.0989,-2.8485,-0.0989,0.0000,456.4675,1.0000,0.0000,0.0961,0.0000,0.0713,0.0000,0.0248,0.0999,0.0749,0.0000,0.0250,0.0059,0.0010,0.0027,0.0012,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,6.1755,6.6638
0,0,1997,1,6,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,0.8756,0.8756,-0.8756,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6579,43.1538,32.7647,4.2594,38.8944,0.0000,0.0000,15.5354,11.7953,1.5334,14.0020,5.3942,4.0956,0.5324,4.8618,0.0000,48.6556,-0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5948,0.0000,0.0000,0.2065,0.0744,1.0053,1.0094,1.0053,0.8792,1.0000,1.0000,0.6011,0.9172,0.8419,1.0000,0.0000,0.0000,0.0000,-0.8756,0.8756,0.0005,0.2070,0.8761,0.8761,-0.8761,-0.1001,-2.8813,-0.1001,0.0000,456.4675,1.0000,0.0000,0.0951,0.0000,0.0704,0.0000,0.0247,0.0999,0.0749,0.0000,0.0250,0.0063,0.0010,0.0031,0.0012,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,6.3015,6.6927
0,0,1997,1,7,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,0.8761,0.8761,-0.8761,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6491,43.1538,32.7629,4.2592,38.8946,0.0000,0.0000,15.5354,11.7946,1.5333,14.0021,5.3942,4.0954,0.5324,4.8618,0.0000,48.6529,-0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5935,0.0000,0.0000,0.2084,0.0742,1.0053,1.0090,1.0053,0.8792,1.0000,1.0000,0.5770,0.9328,0.8419,1.0000,0.0000,0.0000,0.0000,-0.8761,0.8761,0.0005,0.2089,0.8767,0.8767,-0.8767,-0.0744,-2.1413,-0.0744,0.0000,456.4675,1.0000,0.0000,0.0942,0.0000,0.0696,0.0000,0.0246,0.0999,0.0749,0.0000,0.0250,0.0067,0.0010,0.0035,0.0013,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,6.3963,6.7232
0,0,1997,1,8,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,0.8731,0.8731,-0.8731,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6404,43.1538,32.7611,4.2589,38.8948,0.0000,0.0000,15.5354,11.7940,1.5332,14.0021,5.3942,4.0951,0.5324,4.8619,0.0000,48.6503,-0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5896,0.0000,0.0000,0.2098,0.0737,1.0054,1.0099,1.0054,0.8792,1.0000,1.0000,0.6286,0.8851,0.8419,1.0000,0.0000,0.0000,0.0000,-0.8731,0.8731,0.0005,0.2103,0.8736,0.8736,-0.8736,-0.0376,-1.0822,-0.0376,0.0000,456.4675,1.0000,0.0000,0.0933,0.0000,0.0687,0.0000,0.0246,0.0999,0.0749,0.0000,0.0250,0.0072,0.0010,0.0039,0.0013,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,6.4652,6.7553
0,0,1997,1,9,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,1.1479,1.1479,-1.1479,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6289,43.1538,32.7593,4.2587,38.8951,0.0000,0.0000,15.5354,11.7934,1.5331,14.0022,5.3942,4.0949,0.5323,4.8619,0.0000,48.6476,-0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8207,0.0000,0.0000,0.2246,0.1026,1.0059,1.0127,1.0059,0.8792,1.0000,1.0000,0.7638,0.9340,0.8419,1.0000,0.0000,0.0000,0.0000,-1.1479,1.1479,0.0006,0.2252,1.1485,1.1485,-1.1485,-0.1520,-4.3709,-0.1520,0.0000,456.4675,1.0000,0.0000,0.0922,0.0000,0.0677,0.0000,0.0245,0.0999,0.0749,0.0000,0.0250,0.0077,0.0010,0.0044,0.0014,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,7.0336,6.7889
0,0,1997,1,10,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,0.0000,0.0000,0.0000,0.8380,0.8380,-0.8380,0.0000,0.0000,0.0000,0.0000,5.8019,0.0000,0.0000,0.2659,33.4347,0.0000,0.0000,0.0000,329,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6206,43.1538,32.7575,4.2585,38.8953,0.0000,0.0000,15.5354,11.7927,1.5331,14.0023,5.3942,4.0947,0.5323,4.8619,0.0000,48.6449,-0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1591,0.0884,0.0707,0.0000,0.0000,0.0573,0.0318,0.0255,0.0199,0.0110,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5483,0.0000,0.0000,0.2212,0.0685,1.0053,1.0090,1.0053,0.8792,1.0000,1.0000,0.5763,0.8668,0.8419,1.0000,0.0000,0.0000,0.0000,-0.8380,0.8380,0.0006,0.2218,0.8386,0.8386,-0.8386,0.0210,0.6047,0.0210,0.0000,456.4464,1.0000,0.0000,0.0912,0.0000,0.0667,0.0000,0.0245,0.0998,0.0749,0.0000,0.0250,0.0082,0.0010,0.0048,0.0014,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0040,0.0010,0.0010,0.0010,0.0010,6.9387,6.8240
