X,Y,YEAR,MONTH,LAYER,HEIGHT,DBH,AGE,SPECIES,MANAGEMENT,GPP,NET_ASS,RA,NPP,CUE,CTRANSP,CET,CLE,LAI,CC,DBHDC,HD_EFF,HDMAX,HDMIN,N_TREE,WUE,WRes,WS,WSL,WSD,PWL,PWFR,WCR,WCRL,WCRD,WBB,WBBL,WBBD,gpp,npp,ar,et,le,asw,iWue
0,0,1997,1,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,24.3864,-24.3864,0.0000,0.0000,0.0000,0.0000,0.0000,1.1000,0.2659,0.0000,0.0000,0.0000,329,0.0000,10.4639,43.1538,4.2536,38.9002,1.5955,1.9146,15.5354,1.5313,14.0041,5.3942,0.5317,4.8625,0.0000,-24.3864,24.3864,-0.25,-7.07,456.47,0.00
0,0,1997,2,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,19.8638,-19.8638,0.0000,0.0000,0.0000,0.0000,0.0000,1.1000,0.2659,0.0000,0.0000,0.0000,329,0.0000,10.2652,43.1538,4.2471,38.9067,1.5955,1.9146,15.5354,1.5289,14.0064,5.3942,0.5309,4.8633,0.0000,-19.8638,19.8638,1.52,43.93,456.40,0.00
0,0,1997,3,0,21.4496,24.54,76,Fagussylvatica,T,0.0000,0.0000,20.0933,-20.0933,0.0000,0.0000,0.0000,0.0000,0.0000,1.1000,0.2659,0.0000,0.0000,0.0000,329,0.0000,10.0643,43.1538,4.2398,38.9139,1.5955,1.9146,15.5354,1.5263,14.0090,5.3942,0.5300,4.8642,0.0000,-20.0933,20.0933,4.65,134.14,456.47,0.00
0,0,1997,4,0,21.4496,24.54,76,Fagussylvatica,T,93.8095,90.8796,187.0640,-93.2546,0.0000,14.0657,14.3504,410.5174,1.3153,1.1000,0.2659,0.0000,0.0000,0.0000,329,0.0000,5.6238,43.1538,4.2329,38.9209,1.5955,1.9146,15.5354,1.5238,14.0115,5.3942,0.5291,4.8651,93.8095,-93.2546,187.0640,19.08,546.63,441.46,4.76
0,0,1997,5,0,21.4496,24.54,76,Fagussylvatica,T,339.8801,322.7635,99.9808,239.8994,0.7058,61.3107,66.9151,1910.9601,5.7984,1.1000,0.2659,0.0000,0.0000,0.0000,329,3.9128,8.0227,43.1538,4.2256,38.9281,1.5955,1.9146,15.5354,1.5212,14.0141,5.3942,0.5282,4.8660,339.8801,239.8994,99.9808,75.79,2164.61,399.71,4.26
0,0,1997,6,0,21.4496,24.54,76,Fagussylvatica,T,369.7743,349.5903,113.6431,256.1312,0.6927,70.9354,77.4594,2208.4898,5.6113,1.1000,0.2659,0.0000,0.0000,0.0000,329,3.6108,10.5841,43.1538,4.2187,38.9351,1.5955,1.9146,15.5354,1.5187,14.0166,5.3942,0.5273,4.8669,369.7743,256.1312,113.6431,88.56,2525.06,362.95,3.95
0,0,1997,7,0,21.543,24.7108,76,Fagussylvatica,T,362.5295,340.4223,169.0986,193.4309,0.5336,78.0869,82.4013,2346.6603,5.7984,1.1000,0.2659,0.0000,0.0000,0.0000,329,2.4771,11.1540,43.7972,4.2951,39.5021,1.5955,1.9146,15.7383,1.5425,14.1958,5.4861,0.5384,4.9478,362.5295,193.4309,169.0986,91.43,2604.06,302.55,3.72
0,0,1997,8,0,21.5776,24.7745,76,Fagussylvatica,T,256.5636,230.4439,191.3711,65.1925,0.2541,70.9224,71.6912,2033.1337,5.7984,1.1000,0.2659,0.0000,0.0000,0.0000,329,0.9192,11.2943,44.0384,4.3192,39.7192,1.5955,1.9146,15.8146,1.5498,14.2648,5.5206,0.5420,4.9786,256.5636,65.1925,191.3711,73.11,2073.36,239.80,3.15
0,0,1997,9,0,21.5849,24.7878,76,Fagussylvatica,T,138.8092,124.6259,125.3074,13.5018,0.0973,30.6065,37.3438,1064.0987,5.5165,1.1000,0.2659,0.0000,0.0000,0.0000,329,0.4411,11.3510,44.0889,4.3188,39.7701,1.5955,1.9146,15.8319,1.5495,14.2823,5.5278,0.5420,4.9858,138.8092,13.5018,125.3074,43.17,1230.10,248.45,2.89
0,0,1997,10,0,21.5849,24.7878,76,Fagussylvatica,T,48.4971,44.8813,60.4299,-11.9327,0.0000,5.0740,7.9533,227.9916,2.5776,1.1000,0.2659,0.0000,0.0000,0.0000,329,0.0000,11.5327,44.0889,4.3116,39.7773,1.5955,1.9146,15.8319,1.5469,14.2849,5.5278,0.5411,4.9867,48.4971,-11.9327,60.4299,9.85,282.24,286.78,4.56
